order_id,order_date,product_id,product_name,category,channel,units,base_price,discount_pct,final_price,revenue,cogs,profit,profit_margin_pct
O000001,2024-09-15,P033,Product 33,Home,Google,1,23.37,0.194,18.83,18.83,12.85,5.97,0.317
O000002,2024-05-26,P013,Product 13,Supplements,Facebook,1,128.19,0.355,82.66,82.66,57.69,24.98,0.302
O000003,2024-06-09,P046,Product 46,Electronics,Facebook,1,130.31,0.292,83.03,83.03,87.96,-4.93,-0.059
O000004,2024-11-18,P010,Product 10,Accessories,Organic,2,129.23,0.23,129.31,258.62,100.8,157.82,0.61
O000005,2024-09-25,P003,Product 3,Accessories,Organic,2,43.86,0.092,39.85,79.69,26.32,53.37,0.67
O000006,2025-03-17,P013,Product 13,Supplements,Email,1,128.19,0.168,106.7,106.7,57.69,49.01,0.459
O000007,2024-07-10,P048,Product 48,Accessories,Google,3,149.98,0.294,95.28,285.85,121.48,164.37,0.575
O000008,2024-01-09,P001,Product 1,Home,Organic,3,190.88,0.213,150.22,450.65,314.96,135.7,0.301
O000009,2024-06-21,P015,Product 15,Home,Referral,1,82.78,0.188,60.51,60.51,40.97,19.54,0.323
O000010,2024-09-07,P027,Product 27,Home,Referral,1,48.71,0.344,31.97,31.97,26.79,5.17,0.162
O000011,2024-11-01,P050,Product 50,Supplements,Facebook,3,37.12,0.2,38.59,115.78,65.15,50.63,0.437
O000012,2024-07-13,P035,Product 35,Beauty,Google,2,114.84,0.159,86.97,173.94,72.35,101.59,0.584
O000013,2025-05-20,P037,Product 37,Home,Google,1,115.4,0.26,85.39,85.39,63.47,21.92,0.257
O000014,2024-11-17,P029,Product 29,Beauty,Facebook,3,120.02,0.218,122.02,366.05,163.83,202.22,0.552
O000015,2024-11-13,P016,Product 16,Supplements,Facebook,3,85.76,0.311,76.78,230.33,150.5,79.83,0.347
O000016,2025-03-23,P046,Product 46,Electronics,Facebook,2,130.31,0.381,80.67,161.34,195.47,-34.13,-0.212
O000017,2024-12-21,P023,Product 23,Accessories,Facebook,2,57.72,0.273,54.52,109.03,45.02,64.02,0.587
O000018,2024-06-04,P019,Product 19,Accessories,Organic,2,98.34,0.111,78.7,157.4,53.1,104.29,0.663
O000019,2024-02-23,P027,Product 27,Home,Email,1,48.71,0.267,35.72,35.72,26.79,8.93,0.25
O000020,2024-12-29,P049,Product 49,Supplements,Email,3,118.83,0.226,119.57,358.71,208.55,150.17,0.419
O000021,2024-10-18,P003,Product 3,Accessories,Google,1,43.86,0.151,37.25,37.25,13.16,24.09,0.647
O000022,2024-03-21,P031,Product 31,Beauty,Referral,1,98.2,0.118,86.58,86.58,34.37,52.21,0.603
O000023,2025-01-31,P035,Product 35,Beauty,Organic,1,114.84,0.26,85.0,85.0,40.2,44.8,0.527
O000024,2024-11-14,P022,Product 22,Beauty,Google,3,71.35,0.192,74.92,224.77,97.4,127.37,0.567
O000025,2024-05-03,P008,Product 8,Beauty,Google,1,148.57,0.113,131.72,131.72,52.0,79.72,0.605
O000026,2025-06-07,P012,Product 12,Home,Organic,1,19.27,0.224,13.46,13.46,9.54,3.92,0.291
O000027,2025-04-26,P009,Product 9,Beauty,Organic,3,48.64,0.157,41.02,123.07,51.07,72.0,0.585
O000028,2025-01-12,P038,Product 38,Electronics,Google,1,69.81,0.152,59.18,59.18,52.36,6.83,0.115
O000029,2024-05-22,P026,Product 26,Supplements,Organic,1,183.22,0.212,144.4,144.4,82.45,61.95,0.429
